NAZIV,TIP,IDENT,TIP_SIF,A_SIFRA,A_NAZIV,KOLIÈINA,ALT_STATUS,ALT_AKT,DODATEK1,POZICIJA,A_DATUM_S,EAN,ID_ART,OPIS,OPIS2,EM1,FAKTOR,FAKT_EXP,PAKIRANJE,PAKIRANJEX,KLASIF,SKUPINA1,SKUPINA2,SKUPINA3,SKUPINA4,TIP_ART,MIN_ZALOGA,SIG_ZALOGA,GRUPA,GRUPA_EKO,V_ZALOGE,V_A_ZALOGE,V_MINUS,SKLADIŠÈE,TEŽA,TIP_CENE,ID_NORM,N_ENOTA,AKTIVEN,UPORABNIK,DAT_VNOSA,UPORABNIKS,DAT_SPREME,PROIZVAJAL,POREKLO,LETO_UVOZA,DOBAVITELJ,DOBAVIT_ID,DOBAVIT_IM,LOKACIJA,DEKLARA,CARIN_STOP,V_SERIS,NAZIV_ENG,KN,KONKRETNO,LASTNOST,STANDARD,KONTO,PAR_A,PAR_B,PAR_C,PAR_D,PAR_E,KARTON,MARŽA,MIN_MARZA,ROK_IZD,SLED,PRIPADA_N,VN_STATUS,SIRINA,DOLZINA,VISINA,KALO,KALO_DEC,KVALITETA,ABC,KONTROLA_P,GARANCIJA,GARANCIJAE,ATEST,STATUS,FANTOMSKI,NORMFIXKOL,FANTOM_KOL,SLIKA_PATH,KONTO_KONS,NORM_AVTO,FIFO,STM,OPT_KOL,KARANTENA,OPT_ZALOGA,MAX_ZALOGA,NAB_LETKOL,OPT_CAS,NAB_STRNAB,NAB_STRSKL,NAB_POVPZA,KONTO2,PRET_CAS,KALK_CENA,NACIN_FAK,ROK_UPORAB,PLU_KODA,OPT_KOL_PA,VOLUMEN,DEKADA,DEKADA_FAK,LANSAZA,CARIN_KOM,NALEPKA,DODATEK21,DODATEK22,DODATEK23,DODATEK51,DODATEK52,DODATEK53,DODATEK_1,DODATEK_2,DODATEK_3,DODATEK_4,DODATEK_5,PAKIRANJEP,INTRASTAT,EM_DAN,EM_DAN_TIP,MIN_ZAL1,SIG_ZAL1,OPT_ZAL1,MAX_ZAL1,MIN_ZAL2,SIG_ZAL2,OPT_ZAL2,MAX_ZAL2,MIN_ZAL3,SIG_ZAL3,OPT_ZAL3,MAX_ZAL3,TEZA_B,ABC_P,KN_P,ID_ART2,NACRT,TIP_NARO,NARO_TIP,ID_KOL,IDENT_PAK,IDENT_PAK2,PAKIRANJE2,VARIANTA,ROK_IZD1,ROK_IZD2,ROK_IZD3,ABC_X,ABC_V,STANJE,STANJE_KDO,STANJE_CAS,SN,IDG,DODATEK24,DODATEK25,SPL_STRAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLIS/S 0120 770/3,8/162",A,9945893,,9945106,"FLIS/S 0120 790/3,9/162",1,0,,,,1,.  .       :  :,,9945893,FLIS ZA SILON CLASSIC,,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9945893/0001,1,D,VY,12.10.2020 16:17:54,VY,07.01.2022 11:40:35,,,,,,,,0,,N,,,,,080224,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,198,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9945893
"FLIS/S 3520 250/1,5/162",A,9945881,,9946957,"FLIS/S 3530 250/1,5/162",1,0,,,,1,.  .       :  :,,9945881,"FLIS ZA F251/1,5 antracit, linia D",,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9945881/0001,1,D,VY,08.10.2020 10:52:04,VY,23.07.2021 12:30:47,,,,,,,,0,,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,206,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9945881
"FLIS/S 3730 310/2,4/195",A,9947191,,9946779,"FLIS/S 3720 310/2,4/195",1,0,,,,1,.  .       :  :,,9947191,"FLIS antracit ZA N320, N454, WR 20 antracit in bla",za konèno širino 150 cm; linija A,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9947191/0001,1,D,VY,12.11.2021 09:20:52,VY,10.01.2022 11:02:16,,,,,,,,0,,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,266,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9947191
"FLIS/S 3730 420/3,4/190",A,9946688,,9946785,"FLIS/S 3720 420/3,4/190",1,0,,,,1,.  .       :  :,,9946688,"FLIS antracit ZA N500, N554, WR 28 antracit in bla",za konèno širino 150 cm,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9946688/0001,1,D,VY,11.05.2021 13:11:03,VY,10.01.2022 11:11:49,,,,,,,,0,,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,266,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9946688
"FLIS/S 3720 420/3,4/190",A,9946785,,9946688,"FLIS/S 3730 420/3,4/190",1,0,,,,1,.  .       :  :,,9946785,"FLIS antracit za N500, N554, WR 28 antracit, black","za konèno širino 150, linija D",KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9946785/0001,1,D,VY,02.06.2021 11:46:39,VY,07.02.2022 14:45:44,,,,,,,,0,,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,175,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9946785
"FLIS/S 4420 900/4,4/175",A,9946205,,9947400,"FLIS/S 4420 900/4,4/185",1,14000,,,,1,.  .       :  :,,9946205,FLIS ZA SC 1454 (Popravljena širina iz 162 na 175),,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9946205/0001,1,D,VY,14.01.2021 15:51:52,ZD,17.01.2023 12:43:40,,,,,,,,0,,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,257,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9946205
"FLIS/S 6120 790/3,9/162",A,9945619,,9946777,"FLIS/S 6120 790/3,9/165",1,0,,,,1,.  .       :  :,,9945619,"FLIS ZA SILON 202, 302, 602",,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9945619/0001,1,D,VY,17.07.2020 12:03:21,ZD,24.01.2023 12:40:50,,,,,,,,0,,N,,,,,080224,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,191,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9945619
"FLIS/S 6120 790/3,9/162",A,9945619,,9946464,"FLIS/S 6120 890/4,4/162",1,0,,,,2,.  .       :  :,,9945619,"FLIS ZA SILON 202, 302, 602",,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9945619/0001,1,D,VY,17.07.2020 12:03:21,ZD,24.01.2023 12:40:50,,,,,,,,0,,N,,,,,080224,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,191,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9945619
"FLIS/S 6120 790/3,9/162",A,9945619,,9947291,"FLIS/S 6120 890/4,4/165",1,0,,,,3,.  .       :  :,,9945619,"FLIS ZA SILON 202, 302, 602",,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9945619/0001,1,D,VY,17.07.2020 12:03:21,ZD,24.01.2023 12:40:50,,,,,,,,0,,N,,,,,080224,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,191,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9945619
"FLIS/S 8030 500/3,0/170",A,9946587,,9947420,"FLIS/S 8020 500/3,0/165",1,0,,,,1,.  .       :  :,,9946587,FLIS ZA F515 A antracit,za Silon 240,KOS,1,0,0,KOS,1,0,0208050000,,,,,POL,0,0,0,0,A,,D,,N,022210,0,0,,NT9946587/0001,1,D,VY,14.04.2021 15:15:33,VY,04.04.2022 14:59:59,,,,,,,,0,,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,316,0,0,,,,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,.  .       :  :,,9946587
